CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
613035;702391;60913;74250;321777;2258;0;2824
525694;629332;57129;68264;300414;3174;0;2832
511778;620360;54016;66295;287170;610;0;2840
564695;657958;62439;70671;313049;0;0;2848
543394;642027;56762;70555;311705;2930;0;2856
528685;617430;50110;68417;287292;2564;0;2864
525023;617125;52795;67073;291137;2625;0;2872
535643;631896;55420;68587;297851;2319;0;2880
509825;615355;51697;67630;288879;61;0;2888
502806;599058;49500;67719;287780;0;0;2896
595396;701170;65612;71306;322081;2197;0;2904
517211;608336;51025;69938;298278;0;0;2912
557555;645872;51453;72346;304320;2991;0;2920
552245;652037;53284;70239;298644;2869;0;2928
537902;633726;55420;70963;310363;2197;0;2936
527403;632750;53772;70365;303954;0;0;2944
532164;622557;55969;70089;309508;0;0;2952
572081;655333;55297;73208;312438;2869;0;2960
555052;654540;55115;72108;312133;2563;0;2968
805052;936827;81482;77143;353820;2258;0;2976
537841;663817;57068;71020;305785;672;0;2984
537962;630430;49805;71190;300292;0;0;2992
635618;695677;56153;75049;323180;2075;0;3000
561766;665099;56091;72110;311767;1892;0;3008
578978;667479;56519;74035;318541;2014;0;3016
583617;674010;60180;73125;322326;2991;0;3024
556456;643248;52002;73063;309021;0;0;3032
590147;672484;55419;74950;320556;2258;0;3040
599363;687621;59937;74435;325256;2136;0;3048
589170;686644;58411;74035;322936;2136;0;3056
565001;660520;56335;74235;317992;0;0;3064
615111;710448;60120;77894;332030;2320;0;3072
595213;680296;58533;74971;325256;2197;0;3080
602172;701353;59143;75126;324218;3052;0;3088
583434;669859;55725;75420;317382;0;0;3096
594908;680479;59265;76097;320983;2441;0;3104
617308;718932;63842;75978;339293;2380;0;3112
623655;737120;64208;79332;345458;2320;0;3120
605772;727293;63476;76302;326782;1160;0;3128
587889;678343;54505;77885;327209;0;0;3136
635985;750182;60364;79934;341124;3052;0;3144
630309;734495;65612;77695;344787;2868;0;3152
622984;726805;64331;77436;339050;2197;0;3160
595701;696958;56275;78775;331664;0;0;3168
648131;758848;59632;82007;345702;2746;0;3176
627134;734740;61524;78678;339172;2502;0;3184
633544;748106;65918;78845;342955;916;0;3192
669188;753233;64087;81585;353820;2625;0;3200
638670;738951;61218;80639;343688;2015;0;3208
654783;768919;65247;80134;347167;2075;0;3216
642759;798765;67993;79318;347045;1831;0;3224
709349;810789;67993;85499;365050;2258;0;3232
659422;769407;69092;82245;365050;2319;0;3240
738584;867185;75073;81967;370483;3113;0;3248
650694;735167;58533;82361;344847;2198;0;3256
660215;773618;63843;82406;353697;2807;0;3264
743467;869748;78125;88264;393309;2930;0;3272
625914;735594;60607;82373;347655;0;0;3280
724790;853880;75744;88892;389403;2075;0;3288
742430;864378;75378;85364;380920;2685;0;3296
640013;748655;64086;83720;356750;0;0;3304
690183;809691;64758;86785;369567;2258;0;3312
747801;871702;74402;86115;381835;2564;0;3320
664122;775632;60607;84865;357055;0;0;3328
704649;829282;68543;88063;378662;2441;0;3336
747008;864866;72815;85614;373412;2197;0;3344
661863;797300;66955;83636;354980;244;0;3352
693907;813657;66833;89374;379149;2441;0;3360
774534;906614;83007;86833;395262;2746;0;3368
662596;777830;64880;86373;365661;0;0;3376
707456;829466;68359;89638;381408;3052;0;3384
775205;899717;80261;90573;402465;3418;0;3392
676084;783567;64941;86841;368285;1282;0;3400
847044;974790;81604;94616;409605;2075;0;3408
791807;926939;80688;93263;410644;3052;0;3416
722349;845273;69763;90908;389220;2746;0;3424
720763;840269;74463;91187;396971;2442;0;3432
786192;910276;77758;89981;392882;2930;0;3440
725217;845152;66895;90125;378112;2441;0;3448
890867;1077939;86548;93755;414001;2137;0;3456
741697;865781;71167;94447;398619;2502;0;3464
715696;847227;73425;90106;395934;2014;0;3472
718565;845091;74158;89634;386840;2502;0;3480
765379;901792;74157;97663;414733;3906;0;3488
744444;889585;79468;93310;411254;2198;0;3496
739440;859739;77393;93474;410277;1893;0;3504
743284;868651;73608;94066;405639;2136;0;3512
737242;867125;72632;92275;401732;2136;0;3520
758360;881528;70495;96998;405577;2441;0;3528
746336;877317;74219;94158;406799;3235;0;3536
723265;844908;67749;92872;393066;1343;0;3544
756773;890378;71777;94996;403197;2564;0;3552
1049619;1195371;107910;113905;511291;5127;0;3560
757262;884275;75501;96093;412658;2197;0;3568
758848;891050;77148;96502;417113;2075;0;3576
799924;928892;71472;99160;419310;2259;0;3584
771848;907956;77210;96277;414611;2503;0;3592
776182;900633;75867;97364;417053;2076;0;3600
772947;905576;75318;96351;412474;2380;0;3608
745542;899656;74890;97180;412047;672;0;3616
802488;950071;84472;97196;432188;2015;0;3624
779173;920896;81116;96634;426573;2441;0;3632
831113;1005613;86243;99140;435241;2136;0;3640
781736;920896;76476;98471;421996;2746;0;3648
784911;921079;78186;99579;430969;2380;0;3656
798337;936033;78003;99265;423522;2136;0;3664
886716;1032407;81664;106659;454162;3540;0;3672
788267;920774;79407;100761;434142;2259;0;3680
1035825;1223325;100097;117059;519591;2564;0;3688
885923;1028867;92285;104239;467590;2502;0;3696
831174;970090;83557;101553;441894;1892;0;3704
805662;949460;85388;103075;455932;2259;0;3712
825254;953122;78857;102730;439269;2624;0;3720
816771;949949;80750;102668;443847;2320;0;3728
826841;967222;82031;103965;448058;2320;0;3736
809446;946225;78369;103164;439513;2380;0;3744
854917;999327;86853;104301;462767;3113;0;3752
827879;961729;83374;103443;452208;2014;0;3760
815489;951841;77758;103445;440306;2381;0;3768
818784;963987;82153;103756;446532;2685;0;3776
825194;971921;81970;104576;453124;2075;0;3784
859678;996824;87891;106616;463805;2198;0;3792
834226;975828;79712;105291;449157;2380;0;3800
833982;982908;83007;106513;457274;2380;0;3808
852354;983580;81543;106516;455505;2808;0;3816
843321;984555;85571;105514;463012;2686;0;3824
916562;1072141;87219;107269;461974;3174;0;3832
905942;1034971;86120;108866;474059;4517;0;3840
850583;994382;81360;106758;454161;2076;0;3848
913145;1108640;94055;108507;467223;5249;0;3856
861631;1008176;86730;107714;465514;2746;0;3864
853452;1028806;87402;107730;462706;1953;0;3872
884885;1026487;89965;109796;478697;2563;0;3880
990659;1122983;95215;114230;500914;2319;0;3888
874631;1014280;86060;109666;470397;2259;0;3896
897092;1043760;88867;112317;481872;2624;0;3904
1114926;1306210;108947;110356;493712;4456;0;3912
913938;1065000;92163;112748;489562;2197;0;3920
922788;1090756;96191;112455;492431;2015;0;3928
891111;1037961;86670;111479;477476;2198;0;3936
979002;1140073;91309;114806;488646;2380;0;3944
917234;1078061;95703;112009;488585;4700;0;3952
902403;1044492;86425;112142;479980;2136;0;3960
972288;1169919;94604;117622;507078;3357;0;3968
963438;1127682;97900;113233;495727;2197;0;3976
924802;1084348;91248;115945;497313;2380;0;3984
934202;1103574;96130;117549;516418;2075;0;3992
910642;1068844;90332;113724;491576;2014;0;4000
