CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
624262501;712877142;97406061;47700344;238413513;29847;0;3864
640569832;735735177;110621177;49105234;248704380;28015;0;3872
618398808;700946448;84177275;46853579;230521870;29663;0;3880
645855097;741879998;111910297;49431303;250407684;29480;0;3888
659990253;762631226;124958115;50879753;260827152;28503;0;3896
650416182;746037763;109678918;49857449;251598416;27649;0;3904
652647439;747487039;107550567;49884814;251042814;26978;0;3912
653075171;745987714;102728314;49854382;249430209;26672;0;3920
657393520;751678496;105320775;50168575;251572537;28870;0;3928
655434114;748096962;101657638;50022435;249981476;27405;0;3936
669184627;765350030;107805693;51026080;256036942;28077;0;3944
684160297;788880915;125568893;52630230;268632735;29358;0;3952
684929948;789059382;123830433;52689159;268401596;27893;0;3960
682874534;780977798;109730432;52176839;261724428;26245;0;3968
667119874;756705339;91950448;50607124;249230319;29053;0;3976
703663970;811240538;129097326;54011994;275907802;28015;0;3984
687627695;786372682;110142235;52608782;263867367;26855;0;3992
683657185;777980064;100423510;51994062;257990795;28870;0;4000
